parent,candidate,path,method,before_line,after_line,status,evidence,disposition
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/o/uk.smali,public final onClick(Landroid/view/View;)V,38,38,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/o/vl.smali,public final Χ()V,7733,7775,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/o/vl.smali,public static constructor <clinit>()V,117,119,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/o/y7.smali,public final run()V,1185,1185,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/o/zk.smali,public final onCheckedChanged(Landroid/widget/CompoundButton;Z)V,38,38,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/AirControlPanel.smali,public static show(Lcom/byd/launcher/NavBarService;)V,21,25,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/AirControlPanelClickListener.smali,public final onClick(Landroid/view/View;)V,29,29,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/LyricsCardMusicClickListener.smali,public constructor <init>(Landroid/content/Context;)V,0,14,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/LyricsCardMusicClickListener.smali,public onClick(Landroid/view/View;)V,0,26,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/MainActivity.smali,public final onCreate(Landroid/os/Bundle;)V,1977,1977,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/NavBarService.smali,public final attachStatusBarToMainActivity()V,4043,4045,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/NavBarService.smali,public final ι(Landroid/view/View;Ljava/lang/String;)V,17733,17824,PENDING_REVIEW,,
